Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Afghanistan,24.7,15.5,20.1,9.2,1.59,2015,
Bahrain,30.0,26.3,28.2,3.7,1.14,2001,
Bangladesh (more info),26.5,25,25.8,1.5,1.06,2019,
Bhutan,25.4,22.8,24.1,2.6,1.11,2007,
Brunei,27.3,25.1,26.2,2.2,1.09,1991,
Cambodia (more info),23.4,21.0,22.2,2.4,1.11,2010,
China (more info),27.1,24.9,26,2.2,1.09,2017,
Hong Kong,31.2,28.9,30.1,2.3,1.08,2011,
India (more info),28.0,25.3,26.7,2.7,1.11,2020,
Indonesia (more info),24,20,22,4,1.2,2017,
Iran (more info),27.4,23.8,25.6,3.6,1.15,2015,
Iraq,28.2,25.3,26.8,2.9,1.11,2004,
Israel (more info),27.6,25,26.3,2.6,1.1,2016,
Japan (more info),29,27,28,2,1.07,2019,
Jordan,31.3,26.6,29,4.7,1.18,2019,
Kazakhstan,26.9,24.3,25.6,2.6,1.11,2010,
Kuwait,28.9,27.5,28.2,1.4,1.05,2005,
Kyrgyzstan,25.5,21.8,23.7,3.7,1.17,2012,
Laos,23.3,20.5,21.9,2.8,1.14,2012,
Lebanon,32.8,28.8,30.8,4,1.14,2006,
Malaysia,27,25,26,2,1.08,2010,
Maldives,24.1,21.6,22.9,2.5,1.12,2009,
Mongolia,29,26,27.5,3,1.12,2019,
Myanmar (more info),24.0,20.5,22.3,3.5,1.17,2007,
Nepal,23.6,20.1,21.9,3.5,1.17,2016,
North Korea (more info),29.0,25.5,27.3,3.5,1.14,2008,
Oman,28.1,24.8,26.5,3.3,1.13,2003,
Pakistan (more info),26.9,23.2,25.1,3.7,1.16,2017,
Palestine,25.4,20.1,22.8,5.3,1.26,2010,
Philippines (more info),28.0,25.3,26.7,2.7,1.11,2011,
Qatar,27.3,25.4,26.4,1.9,1.07,2010,
Saudi Arabia,25.3,20.4,22.9,4.9,1.24,2018,
Singapore (more info),30.1,27.9,29,2.2,1.08,2014,
Sri Lanka,27.2,23.4,25.3,3.8,1.16,2012,
South Korea (more info),27,29,28,-2,0.93,2018,
Syria,31.8,26.3,29.1,5.5,1.21,2016,
Taiwan,32.6,30.4,31.5,2.2,1.07,2019,
Tajikistan,26.3,22.5,24.4,3.8,1.17,2010,
Thailand,24.4,21.0,22.7,3.4,1.16,2010,
East Timor,25.0,20.6,22.8,4.4,1.21,2009-2010,
Turkmenistan,24.6,23.3,24,1.3,1.06,2006,
United Arab Emirates,26.8,25.3,26.1,1.5,1.06,2005,
Uzbekistan,25.2,22.4,23.8,2.8,1.13,2006,
Vietnam,26.2,22.8,24.5,3.4,1.15,2009,
Yemen,26.1,23.0,24.6,3.1,1.13,2013,
