Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Antigua and Barbuda,29.3,25.7,27.5,3.6,1.14,2001,
Argentina,34.1,33.2,33.7,0.9,1.03,2015,
Bahamas,30.6,27.9,29.3,2.7,1.1,2010,
Barbados,34.3,31.8,33.1,2.5,1.08,1990,
Belize,30.1,28.6,29.4,1.5,1.05,2010,
Bolivia,26.6,24.1,25.4,2.5,1.1,2012,
Brazil,33.0,30,31.5,3,1.1,2014,
Canada (more info),31.0,29.6,30.3,1.4,1.05,2008,
Chile,35.3,32.6,34,2.7,1.08,2013,
Colombia,26.8,22.7,24.8,4.1,1.18,2015,
Costa Rica,28.8,25.7,27.3,3.1,1.12,2014,
Cuba,25.4,21.3,23.4,4.1,1.19,2012,
Dominica,36.5,32.5,34.5,4,1.12,2001,
Dominican Republic,24.8,21.0,22.9,3.8,1.18,2013,
Ecuador,25.0,21.8,23.4,3.2,1.15,2010,
El Salvador,25.5,22.5,24,3,1.13,2007,
Grenada,34.4,31.0,32.7,3.4,1.11,1991,
Guatemala,23.6,21.3,22.5,2.3,1.11,1994,
Guyana,25.4,21.5,23.5,3.9,1.18,2009,
Haiti,28.3,23.7,26,4.6,1.19,2012,
Honduras,24.1,21.2,22.7,2.9,1.14,2012,
Jamaica,34.8,33.2,34,1.6,1.05,2021,
Mexico,29.0,26.0,27.5,3,1.12,2011,
Nicaragua,24.4,20.6,22.5,3.8,1.18,2005,
Panama,25.3,21.6,23.5,3.7,1.17,2010,
Paraguay,26.8,22.7,24.8,4.1,1.18,2002,
Peru,27.5,23.5,25.5,4,1.17,2012,
Saint Kitts and Nevis,32.1,31.3,31.7,0.8,1.03,1980,
Saint Lucia,35.1,33.7,34.4,1.4,1.04,1991,
Saint Vincent and the Grenadines,27.8,21.2,24.5,6.6,1.31,2002,
Suriname,32.8,29.3,31.1,3.5,1.12,2012,
Trinidad and Tobago,31.8,29.2,30.5,2.6,1.09,2011,
United States (more info),30.5,28.6,29.6,1.9,1.07,2021,
Uruguay,26.5,24.0,25.3,2.5,1.1,2011,
Venezuela,26.0,22.7,24.4,3.3,1.15,2001,
