United Kingdom,273.06,35.1,11.4,3344.0,40.6,4608.0,3.9,0.58,8.54,54.4,78.9,232.2,4.3,104.90033007687568,3.3,188000.0,0.4,27.8,1.12,2.0,92.63,59.3,12083.0,27068.0,25.0,37.9,40718.0,96.6,1.56,0.929,31.5,46.477492849249074,08.45,2959.0,81.4,6.9,49.0,11.0,79.6,2.1
France,253.35,32.4,12.6,3502.0,41.7,5228.0,5.4,0.39,7.99,45.0,63.8,241.31,4.5,102.58087661776709,8.8,106799.0,0.5,21.6,1.2,3.0,192.25,51.1,192.0,22752.0,30.0,34.2,38959.0,92.2,1.83,0.903,30.8,93.0,10.70,1664.0,82.5,9.7,45.0,13.0,101.1,2.0
United States,96.06,41.5,9.8,3782.0,38.5,10285.0,5.0,0.71,7.92,17.6,76.8,254.69,6.5,92.6743652169019,1.1,275232.0,1.2,36.2,6.52,39.0,191.97,69.0,33556.0,15080.0,67.0,33.8,63123.0,91.2,1.64,0.921,28.6,639.0,08.55,1875.0,78.5,14.5,47.0,13.979972519881807,124.8,3.2
Germany,160.35,31.7,13.4,3554.0,47.8,6337.0,4.8,0.2,8.67,4.4,73.5,258.7,3.8,128.33304758216588,5.550000000000001,79916.0,0.3,22.3,0.8,0.8,120.93,53.9,424.0,25707.0,40.0,36.4,45909.0,93.3,1.53,0.942,30.9,69.0,08.40,2097.0,81.7,8.3,30.0,14.0,82.1,1.4
Japan,101.41,32.9,8.0,2705.0,48.6,4546.0,3.6,-0.23,8.13,0.3,72.1,72.06,2.5,124.50361273507097,0.1,139078.0,36.2,4.3,0.3,0.0068,167.18,1.1,32.0,16166.0,14.0,33.3,39990.0,94.2,1.34,0.925,27.0,38.0,11.15,1016.0,84.3,12.2,60.0,14.0,45.9,1.1
China,14.39,38.2,7.2,3206.0,38.4,790.0,4.0,0.39,2.27,18.0,58.4,13.497240075507921,7.9,73.9,1.725,208418.0,18.2,6.2,0.5,0.02,172.95,29.226405668875287,2823.0,2084.0,68.62874659071036,26.7,10229.0,72.4,1.7,0.768,24.9,121.0,07.50,527.0,77.4,6.7,35.8,12.0,52.4,1.7
Italy,141.0,35.2,7.5,3503.0,46.5,3733.0,3.8,-0.13,7.74,8.4,62.2,246.88,3.1,96.7,4.8,61966.0,0.2,19.9,0.5,0.18,90.93,83.0,1701.0,13191.330422228382,72.0,26.2,31238.0,85.3,1.24,0.895,31.3,89.0,13.45,2159.0,83.0,4.3,25.0,14.0,90.4,1.5
Spain,170.0,34.3,10.0,3322.0,43.9,3674.0,4.2,0.03,8.12,6.4,65.7,164.29,3.1,94.7,2.6,89962.0,0.0,23.8,0.6,0.088,186.4,59.2,3.0,16558.0,49.0,36.8,27409.0,89.3,1.23,0.905,32.3,122.0,13.30,2202.0,83.2,5.3,41.0,14.0,118.6,1.4
Canada,143.0,33.3,8.9,3566.0,41.8,5427.0,5.5,0.9,9.24,10.0,77.7,187.77,4.9,93.53675780941303,4.9,14625.0,0.8,29.4,2.0,2.7,175.61,53.3,114275.0,24128.0,22.0,28.4,43560.0,89.0,1.4,0.936,29.6,104.0,-5.10,3184.0,82.2,10.3,59.0,12.0,108.1,1.3
Australia,130.0,34.3,10.6,3391.0,37.5,5338.0,5.3,1.3,8.96,49.1,80.9,234.49,3.6,93.74301939704581,3.2,28234.0,2.7,29.0,0.9,0.8,77.88,43.9,12860.0,31771.0,33.0,24.4,55823.0,81.6,1.58,0.951,30.5,160.0,21.65,4109.0,83.0,11.3,48.0,10.0,108.2,2.0
Switzerland,285.0,33.1,11.5,3354.0,42.7,8188.0,5.1,0.83,8.83,2.55,81.9,318.69,4.0,95.73673980662873,5.2,12156.0,0.4,19.5,0.5,0.13,188.69,68.0,365239.7003639196,28767.59814331717,23.0,28.3,86919.0,91.4,1.46,0.962,30.1,80.0,05.10,5461.0,83.4,9.8,49.0,10.0,72.9,2.4580388955856955
Singapore,471.0,45.9,2.5,3018.255350248843,35.6,3985.0,2.9,1.4,6.03,-541.3707416000343,89.4,56.01030243390001,2.5,84.0,15.6,12000.0,33.9,6.1,0.2,0.0061,245.5,18.0,380415.3722538388,20752.671192905975,70.0,16.4,58114.0,81.1,1.1,0.939,27.9,185.0,26.45,4232.0,83.2,9.7,33.640217243394005,10.0,71.1,-1.8900928214315318
Belgium,269.0,27.2,12.1,3769.0,41.6,5682.0,6.5,0.58,7.51,175.18697715076314,67.3,236.19,3.4,105.31794422287102,7.6,13913.0,0.2,22.1,1.7,0.2,107.12,65.0,79992.50442861496,24005.0,33.0,33.4,45028.0,86.3,1.55,0.937,30.0,95.0,09.55,2976.0,81.4,13.9,43.0,12.0,86.1,2.756999577699127
Austria,165.0,30.2,11.6,3695.0,44.5,5905.0,5.5,0.24,8.16,25.4,72.0,258.09,3.5,102.75861519642065,8.0,8056.0,0.2,20.1,0.7,0.07,117.31,60.0,1196.0,22065.666709630408,17.0,52.3,48106.0,86.1,1.44,0.916,30.3,95.0,06.35,3044.0,81.6,10.4,39.0,14.0,94.1,0.991482027633869
Norway,133.4,27.7,7.5,3371.0,39.5,7019.0,8.0,0.94,9.81,7.0,73.0,261.34,2.4,79.60977880278587,3.2,10204.0,0.6,23.1,0.6,0.0088,159.99,76.7,324349.0,21070.40010443613,22.0,44.0,66871.0,94.8,1.48,0.961,34.1,49.0,01.50,4654.0,82.6,11.8,48.0,15.0,61.7,1.6315731295144884
Finland,218.0,27.7,10.7,3343.0,42.8,4485.0,6.9,0.36,9.2,8.8,74.9,430.76,2.4,111.9377498710845,1.8,9368.0,0.0,22.2,1.6,0.0088,119.32,69.8,161866.5280580596,18683.534158681643,23.0,35.7,48685.0,87.3,1.37,0.94,32.1,53.0,01.55,3948.0,81.6,13.4,41.0,15.0,67.4,2.1654471781269846
India,19.9,35.7,5.7,2533.0,28.7,189.0,3.1,1.1,6.61,12.6,55.2,84.5,34.3,45.4,14.6,90000.0,0.8,3.9,3.0,0.032,55.72,2.3,438.0,674.0,90.0,54.5,1931.0,59.5,2.18,0.633,25.3,35.0,23.65,138.0,70.8,12.9,77.67277193261576,7.0,5.2,2.4
Brazil,38.0,48.9,7.8,3301.0,33.2,1417.0,6.2,0.75,6.92,10.0,51.9,149.28,11.0,74.3,0.36,46829.0,0.1,22.1,22.45,0.62,90.3,90.0,13484.0,2923.0,85.0,23.8,6797.0,77.1,1.71,0.754,30.0,357.0,24.95,416.0,75.9,6.4,16.0,12.0,82.4,1.2
Netherlands,52.0,29.2,8.7,3297.0,42.8,5811.0,5.5,0.29,8.96,18.0,76.8,341.47,4.0,94.61857681937049,5.0,16502.0,0.2,20.4,0.6,0.2,152.94,40.4,1842.0,24925.0,33.0,34.3,53334.0,90.7,1.55,0.941,30.9,63.0,09.25,3534.0,81.8,9.3,45.0,12.0,89.3,1.4
Denmark,158.0,27.7,10.4,3401.0,42.0,5817.0,7.6,0.38,9.15,11.0,76.7,277.3,3.8,81.02509687120956,5.4,13096.0,0.2,19.7,1.0,0.043,210.71,79.0,10817.0,27308.995462587955,19.0,37.3,61477.0,92.4,1.67,0.948,32.7,68.0,-3.70,5110.0,81.3,7.6,44.0,15.0,145.9,0.7998844669707017
Russia,32.0,36.0,11.7,3345.0,40.3,1556.0,3.7,0.01,3.31,4.0,58.9,163.57,5.8,99.2,11.0,115171.0,0.1,23.1,7.3,1.0,87.01,61.8,69689.0,2489.0,34.0,33.3,10166.0,89.5,1.5,0.822,24.9,325.0,-5.35,819.0,73.2,21.6,58.0,13.059528753118045,51.0,3.1
Turkey,55.0,41.9,2.0,3711.0,32.2,1146.0,4.4,1.37,4.48,8.5,64.6,193.94,10.0,88.1,93.5,75667.0,0.0,32.1,2.5,0.098,62.52,0.2,783.0,7458.0,64.0,32.9,8538.0,82.5,2.04,0.838,24.8,335.0,09.90,635.0,78.6,2.3,28.0,12.0,19.3,2.1
